Log file open, 05/05/15 00:36:42
LogInit:Display: Running engine for game: UEDEMO
LogInit: Version: 4.7.5-2503383+++depot+UE4-Releases+4.7
LogInit: API Version: 2455222
LogInit: Compiled (64-bit): Apr  6 2015 23:21:51
Resource: (F:/Epic/Epic Games/4.7/Engine/Content/Localization/Editor/zh-CN/Editor.locres) Hash: (1271782899) String: (从文件中导入资源到这个文件夹内。)
[2015.05.04-16.36.42:867][  0]LogContentStreaming: Texture pool size is 0.000000MB
[2015.05.04-16.36.44:841][  0]LogTargetPlatformManager:Display: Building Assets For Windows
[2015.05.04-16.36.45:305][  0]LogTargetPlatformManager:Display: Building Assets For Windows
[2015.05.04-16.36.45:351][  0]LogDerivedDataCache:Display: Max Cache Size: 512 MB
[2015.05.04-16.36.45:387][  0]LogDerivedDataCache: Loaded boot cache 0.04s 39MB C:/Users/RMG/AppData/Local/UnrealEngine/4.7/DerivedDataCache/Boot.ddc.
[2015.05.04-16.36.45:387][  0]LogDerivedDataCache:Display: Loaded Boot cache: C:/Users/RMG/AppData/Local/UnrealEngine/4.7/DerivedDataCache/Boot.ddc
[2015.05.04-16.36.45:388][  0]LogDerivedDataCache: FDerivedDataBackendGraph:  Pak pak cache file ../../../../../../UnrealPro/UE4TestGit/UEDEMO/DerivedDataCache/DDC.ddp not found, will not use a pak cache.
[2015.05.04-16.36.45:388][  0]LogDerivedDataCache: Unable to find inner node Pak for hierarchical cache Hierarchy.
[2015.05.04-16.36.45:492][  0]LogDerivedDataCache:Display: Pak cache opened for reading ../../../Engine/DerivedDataCache/Compressed.ddp.
[2015.05.04-16.36.45:505][  0]LogDerivedDataCache: Using Local data cache path C:/Users/RMG/AppData/Local/UnrealEngine/Common/DerivedDataCache: Writable
[2015.05.04-16.36.45:736][  0]LogMeshUtilities: No automatic mesh reduction module available
[2015.05.04-16.36.45:736][  0]LogMeshUtilities: No automatic mesh merging module available
[2015.05.04-16.36.46:106][  0]LogInit: WinSock: version 1.1 (2.2), MaxSocks=32767, MaxUdp=65467
[2015.05.04-16.36.46:159][  0]LogSlate:Warning: Failed to load font data from '../../../Engine/Content/Slate/Fonts/Roboto-Italic.ttf'
[2015.05.04-16.36.46:858][  0]UdpMessaging: Initializing bridge on interface 0.0.0.0:0 to multicast group 230.0.0.1:6666.
[2015.05.04-16.36.47:056][  0]SourceControl: 信息 源码控制已禁用
[2015.05.04-16.36.47:056][  0]SourceControl: 信息 源码控制已禁用
[2015.05.04-16.36.47:056][  0]SourceControl: 信息 源码控制已禁用
[2015.05.04-16.36.47:056][  0]LogSourceControl: RunCommandInternalRaw: 'git version'
[2015.05.04-16.36.47:056][  0]LogSourceControl: RunCommandInternalRaw: ExecProcess ReturnCode=2 OutResults=''
[2015.05.04-16.36.47:062][  0]SourceControl: 信息 源码控制已禁用
[2015.05.04-16.36.47:186][  0]LogObj: 24232 objects as part of root set at end of initial load.
[2015.05.04-16.36.47:186][  0]LogUObjectAllocator: 5137176 out of 0 bytes used by permanent object pool.
[2015.05.04-16.36.47:254][  0]LogEngine: Initializing Engine...
[2015.05.04-16.36.49:427][  0]LogInit: XAudio2 using '扬声器 (Realtek High Definition Audio)' : 2 channels at 48 kHz using 32 bits per sample (channel mask 0x3)
[2015.05.04-16.36.49:444][  0]LogInit: FAudioDevice initialized.
[2015.05.04-16.36.49:468][  0]LogAIModule: Creating AISystem for world NewWorld
[2015.05.04-16.36.49:488][  0]LogDerivedDataCache: Saved boot cache 0.02s 39MB C:/Users/RMG/AppData/Local/UnrealEngine/4.7/DerivedDataCache/Boot.ddc.
[2015.05.04-16.36.49:491][  0]LogInit: Texture streaming: Enabled
[2015.05.04-16.36.49:560][  0]LogAnalytics: Creating configured Analytics provider AnalyticsET
[2015.05.04-16.36.49:560][  0]LogAnalytics: ET APIKey = Rocket.Release. APIServer = http://et2.epicgames.com/ET2/. AppVersion = 4.7.5-2503383+++depot+UE4-Releases+4.7
[2015.05.04-16.36.49:560][  0]LogAnalytics: ET APIKey = Rocket.Release. DataRouterUploadURL = https://datarouter-public-service-gamedev.ol.epicgames.net/datarouter/api/v1/public/data. AppVersion = 4.7.5-2503383+++depot+UE4-Releases+4.7
[2015.05.04-16.36.49:560][  0]LogAnalytics: SetUserId ff36e97c47fc0dce0794ddbc8f88a228|197ccca8ace4469dbd28a387a822afed|95cd838e-8492-4e16-832d-77cf58ff72cc
[2015.05.04-16.36.49:560][  0]LogAnalytics: AnalyticsET::StartSession [Rocket.Release]
[2015.05.04-16.36.49:606][  0]LogInit: Transaction tracking system initialized
[2015.05.04-16.36.49:736][  0]BlueprintLog: New page: 编辑器加载
[2015.05.04-16.36.49:763][  0]LogAssetRegistry: FAssetRegistry took 0.0106 seconds to start up
[2015.05.04-16.36.49:763][  0]LogDirectoryWatcher:Warning: Failed to begin reading directory changes for ../../../Engine/Plugins/Experimental/CharacterAI/Content/. Error: 0
[2015.05.04-16.36.50:290][  0]LogTargetPlatformManager:Display: Building Assets For Windows
[2015.05.04-16.36.50:651][  0]LogTargetPlatformManager:Display: Building Assets For Windows
[2015.05.04-16.36.54:263][  0]LogSlate:Warning: Failed to load font data from '../../../Engine/Content/Editor/Slate/Fonts/Roboto-Regular.ttf'
[2015.05.04-16.36.54:264][  0]LogSlate:Warning: Failed to load font data from '../../../Engine/Content/Editor/Slate/Fonts/Roboto-Bold.ttf'
[2015.05.04-16.36.54:275][  0]LogConsoleResponse:Display: 
[2015.05.04-16.36.54:379][  0]LogCook:Display: Done creating registry. It took  0.00s.
[2015.05.04-16.36.54:480][  0]SourceControl: 信息 源码控制已禁用
[2015.05.04-16.36.54:480][  0]Cmd: MAP LOAD FILE="../../../Engine/Content/Maps/Templates/Template_Default.umap" TEMPLATE=1 SHOWPROGRESS=1 FEATURELEVEL=3
[2015.05.04-16.36.54:480][  0]LightingResults: New page: 光照构建
[2015.05.04-16.36.54:489][  0]MapCheck: New page: 地图检测
[2015.05.04-16.36.54:489][  0]LightingResults: New page: 光照构建
[2015.05.04-16.36.54:496][  0]LogParticles: Destroying 0 GPU particle simulations for FXSystem 0x000000FC6EB44720
[2015.05.04-16.36.55:193][  0]LogEditorServer: Finished looking for orphan Actors (0.000 secs)
[2015.05.04-16.36.55:198][  0]LogAIModule: Creating AISystem for world Untitled_1
[2015.05.04-16.36.55:199][  0]Cmd: MAP CHECKDEP
[2015.05.04-16.36.55:199][  0]MapCheck: New page: Untitled_1 - 2015年5月5日 上午8:36:55
[2015.05.04-16.36.55:254][  0]MapCheck: 信息 地图检测完成：0个错误，0 个警告，用时54.476毫秒完成。
[2015.05.04-16.36.55:254][  0]LogFileHelpers: Loading map 'Template_Default' took 0.773
[2015.05.04-16.36.55:368][  0]LogCollectionManager: Loaded 0 collections in 0.000964 seconds
[2015.05.04-16.36.55:376][  0]LogContentBrowser: Native class hierarchy populated in 0.0078 seconds. Added 1696 classes and 261 folders.
[2015.05.04-16.36.55:400][  0]LogContentBrowser: Native class hierarchy updated for 'SceneOutliner' in 0.0012 seconds. Added 1 classes and 2 folders.
[2015.05.04-16.36.55:437][  0]LogCrashTracker: Crashtracker disabled due to settings.
[2015.05.04-16.36.55:438][  0]LogSlate:Warning: Failed to load font data from 'Veranda'
[2015.05.04-16.36.55:443][  0]LogUObjectGlobals:Warning: 寻找对象'Class 无.'失败
[2015.05.04-16.36.55:469][  0]LogLoad: Full Startup: 14.55 seconds (BP compile: 0.07 seconds)
[2015.05.04-16.36.55:999][  0]LogRenderer:Warning: Reallocating scene render targets to support 1208x576 (Frame:2).
[2015.05.04-16.36.56:747][  2]LogAssetRegistry: Asset discovery search completed in 6.9954 seconds
[2015.05.04-16.36.58:554][  7]Cmd: QUIT_EDITOR
[2015.05.04-16.36.58:764][  7]LogExit: Preparing to exit.
[2015.05.04-16.37.00:001][  7]LogExit: Editor shut down
[2015.05.04-16.37.00:002][  7]LogExit: Transaction tracking system shut down
[2015.05.04-16.37.00:003][  7]LogParticles: Destroying 0 GPU particle simulations for FXSystem 0x000000FC69D15F80
[2015.05.04-16.37.00:003][  7]LogParticles: Destroying 0 GPU particle simulations for FXSystem 0x000000FC69387EC0
[2015.05.04-16.37.00:060][  7]LogExit: Object subsystem successfully closed.
[2015.05.04-16.37.00:112][  7]LogModuleManager: Shutting down and abandoning module CrashTracker (177)
[2015.05.04-16.37.00:112][  7]LogModuleManager: Shutting down and abandoning module SuperSearch (176)
[2015.05.04-16.37.00:112][  7]LogModuleManager: Shutting down and abandoning module SceneOutliner (175)
[2015.05.04-16.37.00:112][  7]LogModuleManager: Shutting down and abandoning module EditorWidgets (174)
[2015.05.04-16.37.00:112][  7]LogModuleManager: Shutting down and abandoning module CollectionManager (173)
[2015.05.04-16.37.00:112][  7]LogModuleManager: Shutting down and abandoning module StatsViewer (172)
[2015.05.04-16.37.00:112][  7]LogModuleManager: Shutting down and abandoning module FoliageEdit (171)
[2015.05.04-16.37.00:112][  7]LogModuleManager: Shutting down and abandoning module LandscapeEditor (170)
[2015.05.04-16.37.00:112][  7]LogModuleManager: Shutting down and abandoning module MeshPaint (169)
[2015.05.04-16.37.00:112][  7]LogModuleManager: Shutting down and abandoning module ActorPickerMode (168)
[2015.05.04-16.37.00:112][  7]LogModuleManager: Shutting down and abandoning module GeometryMode (167)
[2015.05.04-16.37.00:112][  7]LogModuleManager: Shutting down and abandoning module TextureAlignMode (166)
[2015.05.04-16.37.00:112][  7]LogModuleManager: Shutting down and abandoning module BspMode (165)
[2015.05.04-16.37.00:112][  7]LogModuleManager: Shutting down and abandoning module PlacementMode (164)
[2015.05.04-16.37.00:112][  7]LogModuleManager: Shutting down and abandoning module AutomationWorker (163)
[2015.05.04-16.37.00:112][  7]LogModuleManager: Shutting down and abandoning module CharacterAI (162)
[2015.05.04-16.37.00:112][  7]LogModuleManager: Shutting down and abandoning module SmartSnapping (161)
[2015.05.04-16.37.00:112][  7]LogModuleManager: Shutting down and abandoning module ViewportSnapping (160)
[2015.05.04-16.37.00:112][  7]LogModuleManager: Shutting down and abandoning module LogVisualizer (159)
[2015.05.04-16.37.00:113][  7]LogModuleManager: Shutting down and abandoning module GameProjectGeneration (158)
[2015.05.04-16.37.00:113][  7]LogModuleManager: Shutting down and abandoning module IntroTutorials (157)
[2015.05.04-16.37.00:113][  7]LogModuleManager: Shutting down and abandoning module EditorLiveStreaming (156)
[2015.05.04-16.37.00:113][  7]LogModuleManager: Shutting down and abandoning module HardwareTargeting (155)
[2015.05.04-16.37.00:113][  7]LogModuleManager: Shutting down and abandoning module DeviceProfileEditor (154)
[2015.05.04-16.37.00:113][  7]LogModuleManager: Shutting down and abandoning module UndoHistory (153)
[2015.05.04-16.37.00:113][  7]LogModuleManager: Shutting down and abandoning module GameplayTagsEditor (152)
[2015.05.04-16.37.00:113][  7]LogModuleManager: Shutting down and abandoning module UserFeedback (151)
[2015.05.04-16.37.00:113][  7]LogModuleManager: Shutting down and abandoning module XmlParser (150)
[2015.05.04-16.37.00:113][  7]LogModuleManager: Shutting down and abandoning module Blutility (149)
[2015.05.04-16.37.00:113][  7]LogModuleManager: Shutting down and abandoning module IOSPlatformEditor (148)
[2015.05.04-16.37.00:113][  7]LogModuleManager: Shutting down and abandoning module IOSRuntimeSettings (147)
[2015.05.04-16.37.00:113][  7]LogModuleManager: Shutting down and abandoning module AndroidDeviceDetection (146)
[2015.05.04-16.37.00:709][  7]LogModuleManager: Shutting down and abandoning module AndroidPlatformEditor (145)
[2015.05.04-16.37.00:709][  7]LogModuleManager: Shutting down and abandoning module AndroidRuntimeSettings (144)
[2015.05.04-16.37.00:709][  7]LogModuleManager: Shutting down and abandoning module ProjectTargetPlatformEditor (143)
[2015.05.04-16.37.00:709][  7]LogModuleManager: Shutting down and abandoning module ProjectSettingsViewer (142)
[2015.05.04-16.37.00:709][  7]LogModuleManager: Shutting down and abandoning module InputBindingEditor (141)
[2015.05.04-16.37.00:710][  7]LogModuleManager: Shutting down and abandoning module EditorSettingsViewer (140)
[2015.05.04-16.37.00:710][  7]LogModuleManager: Shutting down and abandoning module SettingsEditor (139)
[2015.05.04-16.37.00:710][  7]LogModuleManager: Shutting down and abandoning module ProjectLauncher (138)
[2015.05.04-16.37.00:710][  7]LogModuleManager: Shutting down and abandoning module SessionFrontend (137)
[2015.05.04-16.37.00:710][  7]LogModuleManager: Shutting down and abandoning module ProfilerClient (136)
[2015.05.04-16.37.00:710][  7]LogModuleManager: Shutting down and abandoning module TargetDeviceServices (135)
[2015.05.04-16.37.00:710][  7]LogModuleManager: Shutting down and abandoning module DeviceManager (134)
[2015.05.04-16.37.00:711][  7]LogModuleManager: Shutting down and abandoning module AutomationController (133)
[2015.05.04-16.37.00:711][  7]LogModuleManager: Shutting down and abandoning module AutomationWindow (132)
[2015.05.04-16.37.00:711][  7]LogModuleManager: Shutting down and abandoning module Layers (131)
[2015.05.04-16.37.00:711][  7]LogModuleManager: Shutting down and abandoning module ComponentVisualizers (130)
[2015.05.04-16.37.00:711][  7]LogModuleManager: Shutting down and abandoning module DetailCustomizations (129)
[2015.05.04-16.37.00:711][  7]LogModuleManager: Shutting down and abandoning module PackagesDialog (128)
[2015.05.04-16.37.00:711][  7]LogModuleManager: Shutting down and abandoning module AssetRegistry (127)
[2015.05.04-16.37.00:835][  7]LogModuleManager: Shutting down and abandoning module Persona (126)
[2015.05.04-16.37.00:835][  7]LogModuleManager: Shutting down and abandoning module SlateReflector (125)
[2015.05.04-16.37.00:835][  7]LogModuleManager: Shutting down and abandoning module LevelEditor (124)
[2015.05.04-16.37.00:837][  7]LogModuleManager: Shutting down and abandoning module Kismet (123)
[2015.05.04-16.37.00:837][  7]LogModuleManager: Shutting down and abandoning module GraphEditor (122)
[2015.05.04-16.37.00:837][  7]LogModuleManager: Shutting down and abandoning module ClassViewer (121)
[2015.05.04-16.37.00:837][  7]LogModuleManager: Shutting down and abandoning module Toolbox (120)
[2015.05.04-16.37.00:837][  7]LogModuleManager: Shutting down and abandoning module ModuleUI (119)
[2015.05.04-16.37.00:837][  7]LogModuleManager: Shutting down and abandoning module MovieSceneTools (118)
[2015.05.04-16.37.00:837][  7]LogModuleManager: Shutting down and abandoning module OutputLog (117)
[2015.05.04-16.37.00:837][  7]LogModuleManager: Shutting down and abandoning module GammaUI (116)
[2015.05.04-16.37.00:837][  7]LogModuleManager: Shutting down and abandoning module Documentation (115)
[2015.05.04-16.37.00:837][  7]LogModuleManager: Shutting down and abandoning module GameLiveStreaming (114)
[2015.05.04-16.37.00:837][  7]LogModuleManager: Shutting down and abandoning module StreamingPauseRendering (113)
[2015.05.04-16.37.00:837][  7]LogModuleManager: Shutting down and abandoning module HTTP (112)
[2015.05.04-16.37.00:838][  7]LogModuleManager: Shutting down and abandoning module AnalyticsET (111)
[2015.05.04-16.37.00:838][  7]LogModuleManager: Shutting down and abandoning module Analytics (110)
[2015.05.04-16.37.00:838][  7]LogModuleManager: Shutting down and abandoning module AITestSuite (109)
[2015.05.04-16.37.00:838][  7]LogModuleManager: Shutting down and abandoning module GameplayDebugger (108)
[2015.05.04-16.37.00:838][  7]LogModuleManager: Shutting down and abandoning module AIModule (107)
[2015.05.04-16.37.00:838][  7]LogModuleManager: Shutting down and abandoning module ProfilerService (106)
[2015.05.04-16.37.00:972][  7]LogModuleManager: Shutting down and abandoning module TaskGraph (105)
[2015.05.04-16.37.00:972][  7]LogModuleManager: Shutting down and abandoning module SlateRemote (104)
[2015.05.04-16.37.00:972][  7]LogModuleManager: Shutting down and abandoning module ScriptEditorPlugin (103)
[2015.05.04-16.37.00:972][  7]LogModuleManager: Shutting down and abandoning module CustomMeshComponent (102)
[2015.05.04-16.37.00:972][  7]LogModuleManager: Shutting down and abandoning module CableComponent (101)
[2015.05.04-16.37.00:972][  7]LogModuleManager: Shutting down and abandoning module MessagingDebugger (100)
[2015.05.04-16.37.00:972][  7]LogModuleManager: Shutting down and abandoning module MediaPlayerEditor (99)
[2015.05.04-16.37.00:972][  7]LogModuleManager: Shutting down and abandoning module SpeedTreeImporter (98)
[2015.05.04-16.37.00:972][  7]LogModuleManager: Shutting down and abandoning module PluginsEditor (97)
[2015.05.04-16.37.00:973][  7]LogModuleManager: Shutting down and abandoning module MainFrame (96)
[2015.05.04-16.37.00:973][  7]LogModuleManager: Shutting down and abandoning module EpicSurvey (95)
[2015.05.04-16.37.00:973][  7]LogModuleManager: Shutting down and abandoning module DesktopPlatform (94)
[2015.05.04-16.37.00:973][  7]LogModuleManager: Shutting down and abandoning module DirectoryWatcher (93)
[2015.05.04-16.37.00:974][  7]LogModuleManager: Shutting down and abandoning module HotReload (92)
[2015.05.04-16.37.00:974][  7]LogModuleManager: Shutting down and abandoning module VisualStudioSourceCodeAccess (91)
[2015.05.04-16.37.00:974][  7]LogModuleManager: Shutting down and abandoning module UObjectPlugin (90)
[2015.05.04-16.37.00:974][  7]LogModuleManager: Shutting down and abandoning module SubversionSourceControl (89)
[2015.05.04-16.37.00:974][  7]LogModuleManager: Shutting down and abandoning module PerforceSourceControl (88)
[2015.05.04-16.37.00:974][  7]LogModuleManager: Shutting down and abandoning module SourceControl (87)
[2015.05.04-16.37.00:974][  7]LogModuleManager: Shutting down and abandoning module GitSourceControl (86)
[2015.05.04-16.37.00:974][  7]LogModuleManager: Shutting down and abandoning module BlankPlugin (85)
[2015.05.04-16.37.00:974][  7]LogModuleManager: Shutting down and abandoning module PaperTiledImporter (84)
[2015.05.04-16.37.00:974][  7]LogModuleManager: Shutting down and abandoning module PaperJsonImporter (83)
[2015.05.04-16.37.00:974][  7]LogModuleManager: Shutting down and abandoning module ContentBrowser (82)
[2015.05.04-16.37.00:976][  7]LogModuleManager: Shutting down and abandoning module Paper2DEditor (81)
[2015.05.04-16.37.00:976][  7]LogModuleManager: Shutting down and abandoning module ScriptPlugin (80)
[2015.05.04-16.37.00:976][  7]LogModuleManager: Shutting down and abandoning module UdpMessaging (79)
[2015.05.04-16.37.01:078][  7]LogModuleManager: Shutting down and abandoning module Paper2D (78)
[2015.05.04-16.37.01:078][  7]LogModuleManager: Shutting down and abandoning module WindowsMoviePlayer (77)
[2015.05.04-16.37.01:084][  7]LogModuleManager: Shutting down and abandoning module Media (76)
[2015.05.04-16.37.01:084][  7]LogModuleManager: Shutting down and abandoning module WmfMedia (75)
[2015.05.04-16.37.01:084][  7]LogModuleManager: Shutting down and abandoning module OnlineBlueprintSupport (74)
[2015.05.04-16.37.01:084][  7]LogModuleManager: Shutting down and abandoning module PropertyEditor (73)
[2015.05.04-16.37.01:084][  7]LogModuleManager: Shutting down and abandoning module BehaviorTreeEditor (72)
[2015.05.04-16.37.01:085][  7]LogModuleManager: Shutting down and abandoning module FunctionalTesting (71)
[2015.05.04-16.37.01:085][  7]LogModuleManager: Shutting down and abandoning module CollisionAnalyzer (70)
[2015.05.04-16.37.01:085][  7]LogModuleManager: Shutting down and abandoning module WorkspaceMenuStructure (69)
[2015.05.04-16.37.01:085][  7]LogModuleManager: Shutting down and abandoning module MessageLog (68)
[2015.05.04-16.37.01:085][  7]LogModuleManager: Shutting down and abandoning module Sequencer (67)
[2015.05.04-16.37.01:085][  7]LogModuleManager: Shutting down and abandoning module AssetTools (66)
[2015.05.04-16.37.01:085][  7]LogModuleManager: Shutting down and abandoning module UMGEditor (65)
[2015.05.04-16.37.01:085][  7]LogModuleManager: Shutting down and abandoning module UMG (64)
[2015.05.04-16.37.01:085][  7]LogModuleManager: Shutting down and abandoning module Slate (63)
[2015.05.04-16.37.01:085][  7]LogModuleManager: Shutting down and abandoning module EditorStyle (62)
[2015.05.04-16.37.01:096][  7]LogModuleManager: Shutting down and abandoning module SessionServices (61)
[2015.05.04-16.37.01:096][  7]LogModuleManager: Shutting down and abandoning module SourceCodeAccess (60)
[2015.05.04-16.37.01:096][  7]LogModuleManager: Shutting down and abandoning module HeadMountedDisplay (59)
[2015.05.04-16.37.01:096][  7]LogModuleManager: Shutting down and abandoning module XAudio2 (58)
[2015.05.04-16.37.01:096][  7]LogModuleManager: Shutting down and abandoning module Networking (56)
[2015.05.04-16.37.01:096][  7]LogModuleManager: Shutting down and abandoning module Core (55)
[2015.05.04-16.37.01:096][  7]LogModuleManager: Shutting down and abandoning module KismetCompiler (54)
[2015.05.04-16.37.01:096][  7]LogModuleManager: Shutting down and abandoning module PhysXFormats (53)
[2015.05.04-16.37.01:096][  7]LogModuleManager: Shutting down and abandoning module MeshUtilities (52)
[2015.05.04-16.37.01:096][  7]LogModuleManager: Shutting down and abandoning module DerivedDataCache (51)
[2015.05.04-16.37.01:508][  7]LogDerivedDataCache: Shutdown
[2015.05.04-16.37.01:508][  7]LogModuleManager: Shutting down and abandoning module ShaderFormatOpenGL (50)
[2015.05.04-16.37.01:508][  7]LogModuleManager: Shutting down and abandoning module ShaderFormatD3D (49)
[2015.05.04-16.37.01:508][  7]LogModuleManager: Shutting down and abandoning module MetalShaderFormat (48)
[2015.05.04-16.37.01:508][  7]LogModuleManager: Shutting down and abandoning module TextureFormatUncompressed (47)
[2015.05.04-16.37.01:508][  7]LogModuleManager: Shutting down and abandoning module TextureFormatPVR (46)
[2015.05.04-16.37.01:508][  7]LogModuleManager: Shutting down and abandoning module TextureFormatIntelISPCTexComp (45)
[2015.05.04-16.37.01:508][  7]LogModuleManager: Shutting down and abandoning module TextureFormatDXT (44)
[2015.05.04-16.37.01:509][  7]LogModuleManager: Shutting down and abandoning module ImageWrapper (43)
[2015.05.04-16.37.01:509][  7]LogModuleManager: Shutting down and abandoning module TextureFormatASTC (42)
[2015.05.04-16.37.01:509][  7]LogModuleManager: Shutting down and abandoning module TextureFormatAndroid (41)
[2015.05.04-16.37.01:509][  7]LogModuleManager: Shutting down and abandoning module AudioFormatOpus (40)
[2015.05.04-16.37.01:509][  7]LogModuleManager: Shutting down and abandoning module AudioFormatOgg (39)
[2015.05.04-16.37.01:509][  7]LogModuleManager: Shutting down and abandoning module AudioFormatADPCM (38)
[2015.05.04-16.37.01:509][  7]LogModuleManager: Shutting down and abandoning module LinuxTargetPlatform (37)
[2015.05.04-16.37.01:509][  7]LogModuleManager: Shutting down and abandoning module LinuxServerTargetPlatform (36)
[2015.05.04-16.37.01:509][  7]LogModuleManager: Shutting down and abandoning module LinuxNoEditorTargetPlatform (35)
[2015.05.04-16.37.01:509][  7]LogModuleManager: Shutting down and abandoning module Messaging (34)
[2015.05.04-16.37.01:509][  7]LogModuleManager: Shutting down and abandoning module IOSTargetPlatform (33)
[2015.05.04-16.37.01:509][  7]LogModuleManager: Shutting down and abandoning module HTML5TargetPlatform (32)
[2015.05.04-16.37.01:509][  7]LogModuleManager: Shutting down and abandoning module Android_PVRTCTargetPlatform (31)
[2015.05.04-16.37.01:509][  7]LogModuleManager: Shutting down and abandoning module Android_ETC2TargetPlatform (30)
[2015.05.04-16.37.01:509][  7]LogModuleManager: Shutting down and abandoning module Android_ETC1TargetPlatform (29)
[2015.05.04-16.37.01:509][  7]LogModuleManager: Shutting down and abandoning module Android_ES31TargetPlatform (28)
[2015.05.04-16.37.01:509][  7]LogModuleManager: Shutting down and abandoning module Android_DXTTargetPlatform (27)
[2015.05.04-16.37.01:509][  7]LogModuleManager: Shutting down and abandoning module Android_ATCTargetPlatform (26)
[2015.05.04-16.37.01:509][  7]LogModuleManager: Shutting down and abandoning module AndroidTargetPlatform (25)
[2015.05.04-16.37.01:509][  7]LogModuleManager: Shutting down and abandoning module WindowsTargetPlatform (24)
[2015.05.04-16.37.01:509][  7]LogModuleManager: Shutting down and abandoning module WindowsServerTargetPlatform (23)
[2015.05.04-16.37.01:509][  7]LogModuleManager: Shutting down and abandoning module WindowsNoEditorTargetPlatform (22)
[2015.05.04-16.37.01:509][  7]LogModuleManager: Shutting down and abandoning module WindowsClientTargetPlatform (21)
